ApplicantName,Age,Gender,MaritalStatus,Education,EmploymentType,SelfEmployed,AnnualIncome,MonthlyIncome,ExistingEMI,CreditCardUsage,NumberExistingLoans,LoanAmount,LoanPurpose,LoanTenure,CIBILScore,BankBalance,PropertyOwnership,Dependents,DebtToIncomeRatio,CreditUtilizationRatio,SavingsAmount,PreviousLoanDefaults,LoanStatus
Ananya Iyer,59,Male,Divorced,High School,Self-Employed,1,318000.0,26500.0,2661.79,0.71,2,1343000.0,Business Loan,24,726,482463.89,Owned,2,2.21,0.71,482463.89,1,0
Rohan Mehta,31,Male,Divorced,Graduate,Self-Employed,1,523000.0,43583.33,14042.93,0.68,1,1468000.0,Car Loan,60,770,1068297.11,Owned,1,0.88,0.68,1068297.11,0,1
Neha Gupta,44,Female,Married,High School,Self-Employed,1,334000.0,27833.33,2696.8,0.74,0,355000.0,Car Loan,24,728,321157.87,Rented,4,0.63,0.74,321157.87,0,1
Priya Patel,53,Female,Divorced,Graduate,Freelancer,1,512000.0,42666.67,1512.96,0.31,1,2026000.0,Education Loan,48,507,916977.87,Owned,2,1.02,0.31,916977.87,1,0
Sneha Nair,62,Male,Single,Graduate,Freelancer,1,381000.0,31750.0,3971.55,0.62,1,955000.0,Education Loan,120,665,229673.23,Rented,3,0.38,0.62,229673.23,0,1
Rahul Verma,23,Male,Divorced,Post Graduate,Self-Employed,1,568000.0,47333.33,9846.14,0.29,1,3175000.0,Medical Emergency,360,754,356179.41,Rented,0,0.39,0.29,356179.41,0,1
Priya Patel,34,Male,Single,High School,Freelancer,1,309000.0,25750.0,3102.45,0.24,0,1757000.0,Medical Emergency,120,765,188583.85,Rented,3,0.69,0.24,188583.85,0,1
Karan Malhotra,48,Male,Married,Post Graduate,Self-Employed,1,240000.0,20000.0,6704.9,0.54,1,1106000.0,Car Loan,180,665,232509.95,Owned,0,0.64,0.54,232509.95,0,0
Rahul Verma,56,Male,Single,Post Graduate,Self-Employed,1,621000.0,51750.0,18445.55,0.43,1,527000.0,Car Loan,240,616,850692.02,Mortgaged,3,0.4,0.43,850692.02,0,1
Aarav Sharma,49,Male,Divorced,High School,Business,1,689000.0,57416.67,2882.23,0.44,0,2064000.0,Medical Emergency,60,695,1676014.16,Owned,3,0.65,0.44,1676014.16,0,1
Ananya Iyer,60,Female,Divorced,Post Graduate,Self-Employed,1,588000.0,49000.0,8244.8,0.2,3,3378000.0,Business Loan,12,739,904030.6,Rented,4,5.91,0.2,904030.6,1,0
Pooja Deshmukh,61,Female,Single,Graduate,Self-Employed,1,267000.0,22250.0,8791.07,0.9,0,259000.0,Car Loan,24,633,653392.46,Mortgaged,0,0.88,0.9,653392.46,0,0
Vikram Singh,44,Female,Divorced,Post Graduate,Business,1,180000.0,15000.0,3561.8,0.6,0,1045000.0,Business Loan,48,608,325993.96,Rented,2,1.69,0.6,325993.96,0,0
Pooja Deshmukh,37,Female,Divorced,Doctorate,Salaried,0,773000.0,64416.67,7186.16,0.11,4,476000.0,Business Loan,48,740,1168974.1,Owned,3,0.27,0.11,1168974.1,1,0
Priya Patel,54,Male,Single,Graduate,Business,1,382000.0,31833.33,1015.03,0.26,2,1597000.0,Personal Loan,360,610,159503.5,Mortgaged,2,0.17,0.26,159503.5,0,1
Kavya Reddy,55,Female,Married,Post Graduate,Salaried,0,237000.0,19750.0,861.47,0.44,3,671000.0,Car Loan,12,673,406709.75,Mortgaged,2,2.87,0.44,406709.75,0,1
Siddharth Rao,29,Female,Single,Post Graduate,Self-Employed,1,306000.0,25500.0,2182.65,0.45,1,863000.0,Education Loan,240,709,214057.86,Owned,0,0.23,0.45,214057.86,0,1
Meera Pillai,52,Male,Single,Graduate,Salaried,0,277000.0,23083.33,9622.64,0.81,2,392000.0,Car Loan,240,718,169799.2,Rented,4,0.49,0.81,169799.2,0,1
Neha Gupta,52,Female,Single,Doctorate,Business,1,1171000.0,97583.33,40685.72,0.76,2,2423000.0,Medical Emergency,360,754,1977223.14,Rented,4,0.49,0.76,1977223.14,0,1
Sneha Nair,26,Male,Single,Graduate,Business,1,182000.0,15166.67,390.15,0.58,2,594000.0,Business Loan,36,659,43045.0,Mortgaged,3,1.11,0.58,43045.0,0,0
Neha Gupta,45,Male,Divorced,Graduate,Self-Employed,1,290000.0,24166.67,4391.06,0.9,0,1054000.0,Business Loan,12,650,460089.53,Rented,0,3.82,0.9,460089.53,0,1
Manish Tiwari,33,Female,Married,Post Graduate,Business,1,180000.0,15000.0,1611.13,0.41,0,755000.0,Education Loan,240,711,154588.55,Owned,2,0.32,0.41,154588.55,1,0
Tanvi Bhatia,62,Male,Single,Post Graduate,Business,1,581000.0,48416.67,2885.9,0.36,1,510000.0,Personal Loan,120,665,455486.42,Rented,0,0.15,0.36,455486.42,0,1
Sneha Nair,32,Male,Divorced,High School,Salaried,0,438000.0,36500.0,15421.93,0.17,0,497000.0,Home Loan,360,529,207206.84,Rented,0,0.46,0.17,207206.84,1,0
Amit Kumar,37,Male,Divorced,High School,Freelancer,1,339000.0,28250.0,3192.38,0.87,1,264000.0,Medical Emergency,180,672,708657.61,Owned,1,0.16,0.87,708657.61,1,0
Vikram Singh,64,Female,Single,Doctorate,Freelancer,1,1438000.0,119833.33,30246.9,0.15,1,8193000.0,Medical Emergency,36,505,2026741.21,Rented,2,2.15,0.15,2026741.21,1,0
Vikram Singh,37,Female,Single,Graduate,Business,1,273000.0,22750.0,3733.12,0.89,2,1596000.0,Home Loan,120,804,164942.15,Owned,0,0.75,0.89,164942.15,0,1
Pooja Deshmukh,29,Female,Divorced,Post Graduate,Self-Employed,1,244000.0,20333.33,7911.14,0.93,0,1210000.0,Car Loan,12,629,129433.6,Rented,3,5.35,0.93,129433.6,0,0
Divya Agarwal,56,Male,Married,Post Graduate,Salaried,0,445000.0,37083.33,6383.66,0.08,0,1375000.0,Personal Loan,240,647,417935.2,Owned,3,0.33,0.08,417935.2,0,1
Rohan Mehta,61,Female,Married,High School,Salaried,0,255000.0,21250.0,9245.88,0.3,1,1027000.0,Car Loan,360,819,228163.72,Owned,3,0.57,0.3,228163.72,0,1
Aditya Joshi,45,Male,Divorced,High School,Salaried,0,501000.0,41750.0,2036.61,0.44,1,2258000.0,Education Loan,180,550,779005.53,Mortgaged,1,0.35,0.44,779005.53,0,1
Rohan Mehta,22,Female,Single,Doctorate,Salaried,0,806000.0,67166.67,15714.59,0.78,0,3448000.0,Medical Emergency,48,693,785150.02,Owned,0,1.3,0.78,785150.02,0,1
Amit Kumar,55,Female,Divorced,Graduate,Business,1,722000.0,60166.67,13730.34,0.65,3,1656000.0,Medical Emergency,60,722,1032885.94,Owned,0,0.69,0.65,1032885.94,0,1
Siddharth Rao,28,Male,Divorced,High School,Freelancer,1,655000.0,54583.33,13458.71,0.05,1,1361000.0,Car Loan,120,779,796461.44,Rented,0,0.45,0.05,796461.44,0,1
Deepak Choudhury,55,Female,Divorced,Post Graduate,Salaried,0,406000.0,33833.33,4320.65,0.65,2,1586000.0,Home Loan,48,505,696172.1,Owned,3,1.1,0.65,696172.1,1,0
Vikram Singh,53,Male,Single,Post Graduate,Freelancer,1,199000.0,16583.33,4561.63,0.74,1,598000.0,Medical Emergency,48,677,362982.01,Rented,2,1.03,0.74,362982.01,0,1
Kavya Reddy,37,Male,Divorced,Graduate,Salaried,0,569000.0,47416.67,16609.55,0.25,2,2801000.0,Medical Emergency,360,510,691289.32,Mortgaged,4,0.51,0.25,691289.32,0,0
